study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB2457	SAMEA1027642	ERX011733	ERR031531	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031531/ERR031531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031531/ERR031531_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031531/Bur_0_bur_PII.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031531
PRJEB2457	SAMEA1027636	ERX011735	ERR031532	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031532/ERR031532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031532/ERR031532_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031532/Can_0_can_phaseI.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031532
PRJEB2457	SAMEA1027636	ERX011734	ERR031533	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031533/ERR031533.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031533/ERR031533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031533/ERR031533_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031533/Can_0_can_PII.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031533
PRJEB2457	SAMEA1027631	ERX011737	ERR031534	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031534/ERR031534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031534/ERR031534_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031534/Ct_1_ct_phaseI.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031534
PRJEB2457	SAMEA1027631	ERX011736	ERR031535	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031535/ERR031535.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031535/ERR031535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031535/ERR031535_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031535/Ct_1_ct_PII.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031535
PRJEB2457	SAMEA1027637	ERX011739	ERR031536	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031536/ERR031536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031536/ERR031536_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031536/Edi_0_edi_phaseI.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031536
PRJEB2457	SAMEA1027637	ERX011738	ERR031537	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031537/ERR031537.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031537/ERR031537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031537/ERR031537_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031537/Edi_0_edi_PII.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031537
PRJEB2457	SAMEA1027635	ERX011740	ERR031538	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031538/ERR031538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031538/ERR031538_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031538/Hi_0_hi_amplified.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031538
PRJEB2457	SAMEA1027635	ERX011741	ERR031539	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031539/ERR031539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031539/ERR031539_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031539/Hi_0_hi_nonamp.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031539
PRJEB2457	SAMEA1027635	ERX011742	ERR031540	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031540/ERR031540.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031540/ERR031540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031540/ERR031540_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031540/Hi_0_hi_phaseI.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031540
PRJEB2457	SAMEA1027629	ERX011744	ERR031541	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031541/ERR031541.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031541/ERR031541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031541/ERR031541_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031541/Kn_0_kn_phaseI.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031541
PRJEB2457	SAMEA1027629	ERX011743	ERR031542	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031542/ERR031542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031542/ERR031542_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031542/Kn_0_kn_PII.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031542
PRJEB2457	SAMEA1027626	ERX011746	ERR031543	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031543/ERR031543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031543/ERR031543_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031543/Ler_0_ler_phaseI.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031543
PRJEB2457	SAMEA1027626	ERX011745	ERR031544	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031544/ERR031544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031544/ERR031544_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031544/Ler_0_ler_PII.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031544
PRJEB2457	SAMEA1027638	ERX011748	ERR031545	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031545/ERR031545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031545/ERR031545_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031545/Mt_0_mt_phaseI.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031545
PRJEB2457	SAMEA1027638	ERX011747	ERR031546	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031546/ERR031546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031546/ERR031546_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031546/Mt_0_mt_PII.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031546
PRJEB2457	SAMEA1027641	ERX011750	ERR031547	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031547/ERR031547.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031547/ERR031547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031547/ERR031547_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031547/No_0_no_phaseI.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031547
PRJEB2457	SAMEA1027641	ERX011749	ERR031548	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031548/ERR031548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031548/ERR031548_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031548/No_0_no_PII.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031548
PRJEB2457	SAMEA1027627	ERX011752	ERR031549	3702	Arabidopsis thaliana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031549/ERR031549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031549/ERR031549_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR031/ERR031549/Oy_0_oy_phaseI.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR031/ERR031549
